Platform,Year,Genre,north_america_sales,europe_sales,japan_sales,Other_Sales,Global_Sales
DS,2009,Action,0.22,0.16,0.0,0.04,0.42
PSP,2009,Action,0.13,0.19,0.0,0.11,0.42
DS,2008,Role-Playing,0.23,0.02,0.16,0.02,0.42
PS2,2007,Platform,0.21,0.16,0.0,0.05,0.42
GBA,2001,Role-Playing,0.14,0.05,0.22,0.01,0.42
PS3,2009,Misc,0.24,0.13,0.0,0.06,0.42
PS2,2006,Shooter,0.35,0.01,0.0,0.06,0.42
PS2,2005,Sports,0.21,0.16,0.0,0.05,0.42
GC,2003,Shooter,0.33,0.09,0.0,0.01,0.42
XB,2003,Simulation,0.31,0.1,0.0,0.01,0.42
X360,2009,Misc,0.23,0.15,0.0,0.04,0.42
PS2,2003,Adventure,0.21,0.16,0.0,0.05,0.42
PS,1999,Adventure,0.24,0.16,0.0,0.03,0.42
SNES,1991,Action,0.0,0.0,0.42,0.0,0.42
PS,1998,Action,0.24,0.16,0.0,0.03,0.42
3DS,2013,Role-Playing,0.22,0.13,0.04,0.04,0.42
GC,2005,Sports,0.33,0.08,0.0,0.01,0.42
X360,2011,Sports,0.15,0.23,0.0,0.04,0.42
GBA,2004,Platform,0.0,0.0,0.41,0.01,0.42
DS,2008,Platform,0.39,0.0,0.0,0.03,0.42
Wii,2007,Shooter,0.34,0.04,0.01,0.04,0.42
PSP,2007,Strategy,0.03,0.2,0.1,0.11,0.42
PS,1997,Simulation,0.24,0.16,0.0,0.03,0.42
PS2,2003,Sports,0.21,0.16,0.0,0.05,0.42
PS,2003,Sports,0.23,0.16,0.0,0.03,0.42
PSV,2012,Role-Playing,0.22,0.01,0.16,0.03,0.42
DS,2010,Action,0.2,0.19,0.0,0.04,0.42
DS,2006,Simulation,0.38,0.01,0.0,0.03,0.42
DS,2009,Action,0.42,0.0,0.0,0.0,0.42
PS,2001,Racing,0.23,0.16,0.0,0.03,0.42
SAT,1997,Role-Playing,0.0,0.0,0.42,0.0,0.42
XB,2004,Sports,0.32,0.09,0.0,0.02,0.42
GBA,2005,Misc,0.3,0.11,0.0,0.01,0.42
PS2,2003,Racing,0.21,0.16,0.0,0.05,0.42
PS2,2007,Action,0.21,0.16,0.0,0.05,0.42
PS2,2002,Action,0.21,0.16,0.0,0.05,0.42
Wii,2007,Platform,0.33,0.03,0.04,0.03,0.42
PS2,2004,Racing,0.35,0.01,0.0,0.06,0.42
X360,2010,Shooter,0.19,0.17,0.03,0.04,0.42
GBA,2004,Action,0.3,0.11,0.0,0.01,0.42
DS,2009,Fighting,0.37,0.02,0.0,0.03,0.42
GBA,2004,Platform,0.3,0.11,0.0,0.01,0.42
PS,1998,Racing,0.23,0.16,0.0,0.03,0.42
PSP,2005,Sports,0.39,0.0,0.0,0.03,0.42
PS,1999,Role-Playing,0.0,0.0,0.39,0.03,0.42
DS,2007,Misc,0.39,0.0,0.0,0.03,0.42
PSP,2008,Fighting,0.0,0.0,0.42,0.0,0.42
XB,2002,Racing,0.35,0.05,0.0,0.02,0.42
PS2,2004,Sports,0.0,0.0,0.42,0.0,0.42
DS,2010,Adventure,0.2,0.08,0.12,0.03,0.42
PS2,2003,Action,0.21,0.16,0.0,0.05,0.42
N64,1998,Racing,0.35,0.06,0.0,0.0,0.42
N64,2000,Sports,0.34,0.07,0.0,0.0,0.42
N64,2001,Puzzle,0.34,0.07,0.0,0.0,0.42
N64,1999,Sports,0.0,0.0,0.39,0.03,0.42
N64,2000,Shooter,0.34,0.07,0.0,0.0,0.42
GC,2004,Shooter,0.32,0.08,0.0,0.01,0.42
PS3,2010,Misc,0.19,0.16,0.0,0.07,0.42
PS4,2015,Action,0.09,0.25,0.02,0.06,0.42
PS2,2008,Sports,0.35,0.01,0.0,0.06,0.42
XOne,2014,Action,0.24,0.15,0.0,0.03,0.42
XB,2004,Simulation,0.32,0.09,0.0,0.02,0.42
GC,2004,Platform,0.32,0.08,0.0,0.01,0.42
X360,2006,Simulation,0.36,0.03,0.0,0.03,0.42
SNES,1995,Sports,0.0,0.0,0.42,0.0,0.42
PS2,2008,Sports,0.21,0.16,0.0,0.05,0.42
DS,2010,Misc,0.0,0.0,0.42,0.0,0.42
GC,2005,Action,0.32,0.08,0.0,0.01,0.42
Wii,2009,Adventure,0.39,0.0,0.0,0.03,0.42
PS2,2007,Strategy,0.2,0.16,0.0,0.05,0.42
DS,2009,Simulation,0.35,0.03,0.0,0.03,0.42
X360,2005,Action,0.36,0.03,0.0,0.03,0.42
PS,2001,Action,0.14,0.1,0.16,0.03,0.42
Wii,2008,Racing,0.39,0.0,0.0,0.03,0.42
PS2,2002,Shooter,0.2,0.16,0.0,0.05,0.42
GC,2005,Puzzle,0.32,0.08,0.0,0.01,0.42
PS2,2005,Action,0.18,0.14,0.05,0.05,0.42
PS3,2010,Action,0.21,0.12,0.03,0.05,0.42
DS,2008,Simulation,0.22,0.05,0.13,0.02,0.42
PS,1998,Sports,0.02,0.02,0.35,0.03,0.42
GBA,2001,Platform,0.3,0.11,0.0,0.01,0.42
XB,2006,Shooter,0.31,0.09,0.0,0.01,0.42
Wii,2007,Adventure,0.18,0.17,0.03,0.04,0.42
XB,2006,Action,0.31,0.09,0.0,0.01,0.42
PSP,2009,Action,0.21,0.13,0.0,0.08,0.42
PSP,2010,Action,0.39,0.0,0.0,0.03,0.42
WiiU,2015,Misc,0.19,0.11,0.09,0.03,0.42
3DS,2016,Action,0.16,0.12,0.11,0.03,0.42
PS3,2010,Action,0.13,0.21,0.0,0.08,0.42
Wii,2011,Sports,0.16,0.0,0.25,0.01,0.42
PS3,2011,Fighting,0.16,0.18,0.0,0.07,0.42
XB,2004,Role-Playing,0.31,0.09,0.0,0.01,0.42
PSP,2010,Sports,0.0,0.28,0.0,0.14,0.42
PS2,2007,Action,0.2,0.16,0.0,0.05,0.42
PS,2000,Adventure,0.17,0.12,0.1,0.03,0.42
PS,1997,Fighting,0.16,0.11,0.12,0.03,0.42
PS2,2004,Misc,0.2,0.16,0.0,0.05,0.42
PSP,2007,Platform,0.22,0.09,0.04,0.07,0.42
PS2,2004,Action,0.2,0.16,0.0,0.05,0.42
SAT,1995,Fighting,0.0,0.0,0.42,0.0,0.42
PS3,2009,Puzzle,0.26,0.05,0.06,0.04,0.42
XB,2001,Simulation,0.3,0.1,0.0,0.02,0.42
X360,2007,Shooter,0.36,0.02,0.0,0.03,0.41
PS2,2003,Sports,0.2,0.16,0.0,0.05,0.41
PS2,2003,Simulation,0.15,0.12,0.11,0.04,0.41
DS,2009,Action,0.26,0.12,0.0,0.04,0.41
3DS,2013,Action,0.0,0.0,0.41,0.0,0.41
PS2,2003,Misc,0.2,0.16,0.0,0.05,0.41
GBA,2001,Adventure,0.3,0.11,0.0,0.01,0.41
PS2,2003,Sports,0.2,0.16,0.0,0.05,0.41
GBA,2001,Adventure,0.3,0.11,0.0,0.01,0.41
PSV,2013,Misc,0.14,0.07,0.15,0.06,0.41
PC,1998,Action,0.41,0.0,0.0,0.0,0.41
PS2,2010,Sports,0.04,0.21,0.05,0.11,0.41
DC,1999,Racing,0.0,0.0,0.41,0.0,0.41
PS,1998,Shooter,0.23,0.16,0.0,0.03,0.41
PS2,2007,Action,0.34,0.01,0.0,0.06,0.41
PC,2007,Shooter,0.01,0.39,0.0,0.02,0.41
PS3,2007,Racing,0.37,0.01,0.0,0.03,0.41
PS2,2010,Sports,0.2,0.16,0.0,0.05,0.41
PS,2000,Misc,0.23,0.16,0.0,0.03,0.41
XB,2005,Shooter,0.26,0.13,0.0,0.02,0.41
PSP,2009,Fighting,0.0,0.0,0.41,0.0,0.41
PS,2000,Sports,0.23,0.16,0.0,0.03,0.41
PS,1999,Action,0.23,0.16,0.0,0.03,0.41
PS,2000,Sports,0.0,0.0,0.39,0.03,0.41
PS3,2015,Shooter,0.16,0.17,0.02,0.06,0.41
SAT,1995,Action,0.0,0.0,0.41,0.0,0.41
X360,2012,Action,0.28,0.1,0.0,0.03,0.41
PSP,2009,Shooter,0.17,0.15,0.0,0.09,0.41
X360,2014,Shooter,0.18,0.19,0.0,0.04,0.41
DS,2009,Adventure,0.15,0.22,0.0,0.05,0.41
X360,2015,Simulation,0.21,0.16,0.0,0.04,0.41
PS2,2002,Platform,0.2,0.16,0.0,0.05,0.41
DS,2007,Misc,0.0,0.0,0.41,0.0,0.41
DS,2008,Platform,0.31,0.03,0.04,0.03,0.41
PS3,2010,Fighting,0.21,0.08,0.09,0.04,0.41
PS2,2006,Action,0.2,0.16,0.0,0.05,0.41
PSP,2007,Action,0.27,0.08,0.0,0.06,0.41
SAT,1996,Adventure,0.0,0.0,0.41,0.0,0.41
PS2,2005,Adventure,0.34,0.01,0.0,0.06,0.41
Wii,2009,Misc,0.28,0.1,0.0,0.04,0.41
Wii,2009,Simulation,0.36,0.03,0.0,0.03,0.41
PS3,2012,Action,0.37,0.0,0.0,0.04,0.41
PS,1996,Racing,0.23,0.16,0.0,0.03,0.41
PSV,2015,Action,0.09,0.23,0.0,0.09,0.41
Wii,2009,Misc,0.0,0.0,0.41,0.0,0.41
PSP,2009,Action,0.24,0.1,0.0,0.07,0.41
X360,2008,Action,0.36,0.02,0.0,0.03,0.41
PS2,2002,Adventure,0.0,0.0,0.41,0.0,0.41
Wii,2011,Misc,0.36,0.03,0.0,0.03,0.41
PSP,2009,Racing,0.29,0.07,0.0,0.06,0.41
X360,2011,Simulation,0.3,0.08,0.0,0.03,0.41
PS,1997,Strategy,0.23,0.16,0.0,0.03,0.41
DS,2009,Action,0.23,0.14,0.0,0.04,0.41
NES,1985,Puzzle,0.0,0.0,0.41,0.0,0.41
N64,1999,Role-Playing,0.1,0.02,0.25,0.04,0.41
N64,1999,Action,0.33,0.07,0.0,0.0,0.41
PS3,2008,Sports,0.08,0.27,0.0,0.06,0.41
PS2,2002,Action,0.2,0.16,0.0,0.05,0.41
PSV,2014,Action,0.05,0.26,0.0,0.09,0.41
PS2,2007,Role-Playing,0.2,0.16,0.0,0.05,0.41
PS,1997,Simulation,0.13,0.09,0.16,0.03,0.41
Wii,2009,Racing,0.39,0.0,0.0,0.02,0.41
Wii,2008,Sports,0.18,0.19,0.0,0.04,0.41
X360,2010,Misc,0.24,0.13,0.0,0.04,0.41
PS,1999,Simulation,0.0,0.0,0.38,0.03,0.41
PS3,2012,Action,0.19,0.15,0.0,0.07,0.41
PC,2014,Shooter,0.14,0.23,0.0,0.04,0.41
Wii,2011,Misc,0.26,0.11,0.0,0.04,0.41
PS3,2010,Misc,0.16,0.18,0.0,0.07,0.41
PS2,2009,Misc,0.15,0.06,0.0,0.2,0.41
WiiU,2013,Action,0.2,0.1,0.08,0.03,0.41
Wii,2010,Action,0.21,0.12,0.04,0.03,0.41
X360,2006,Shooter,0.35,0.02,0.01,0.03,0.41
PS2,2001,Simulation,0.11,0.08,0.19,0.03,0.41
PS2,2006,Misc,0.2,0.16,0.0,0.05,0.41
GC,2002,Fighting,0.31,0.08,0.0,0.01,0.41
Wii,2006,Role-Playing,0.37,0.01,0.0,0.03,0.41
PS2,2010,Action,0.34,0.01,0.0,0.06,0.41
PSP,2010,Misc,0.0,0.0,0.41,0.0,0.41
PS,1996,Misc,0.23,0.15,0.0,0.03,0.41
PS,1998,Sports,0.15,0.1,0.12,0.03,0.41
PS2,2008,Sports,0.34,0.01,0.0,0.06,0.41
GBA,2001,Misc,0.0,0.0,0.4,0.01,0.41
Wii,2008,Racing,0.36,0.02,0.0,0.03,0.41
X360,2010,Action,0.21,0.16,0.0,0.04,0.41
Wii,2008,Simulation,0.34,0.04,0.0,0.03,0.41
PS3,2008,Fighting,0.22,0.12,0.0,0.06,0.41
X360,2011,Misc,0.29,0.09,0.0,0.03,0.41
PC,2011,Shooter,0.18,0.17,0.0,0.06,0.41
PSP,2010,Misc,0.0,0.0,0.41,0.0,0.41
PS2,2009,Role-Playing,0.23,0.02,0.0,0.16,0.41
SNES,1995,Puzzle,0.0,0.0,0.41,0.0,0.41
PS2,2005,Platform,0.34,0.01,0.0,0.06,0.41
SNES,1994,Sports,0.0,0.0,0.41,0.0,0.41
PS2,2001,Platform,0.2,0.16,0.0,0.05,0.41
XOne,2015,Shooter,0.24,0.13,0.0,0.04,0.41
X360,2011,Shooter,0.26,0.11,0.0,0.04,0.41
PS,2000,Fighting,0.23,0.15,0.0,0.03,0.41
PS2,2005,Action,0.34,0.01,0.0,0.06,0.41
PC,2012,Action,0.02,0.31,0.0,0.07,0.41
PS3,2012,Action,0.18,0.12,0.06,0.05,0.41
DS,2009,Action,0.19,0.18,0.0,0.04,0.41
DS,2009,Misc,0.38,0.0,0.0,0.03,0.41
PS2,2002,Action,0.2,0.15,0.0,0.05,0.41
PS,2003,Misc,0.23,0.15,0.0,0.03,0.4
PS,2001,Sports,0.23,0.15,0.0,0.03,0.4
2600,1983,Adventure,0.38,0.02,0.0,0.0,0.4
PS3,2008,Misc,0.08,0.26,0.0,0.07,0.4
3DS,2014,Simulation,0.0,0.13,0.26,0.01,0.4
X360,2007,Action,0.36,0.01,0.0,0.03,0.4
2600,1981,Action,0.38,0.02,0.0,0.0,0.4
Wii,2010,Action,0.17,0.2,0.0,0.04,0.4
PSV,2014,Misc,0.13,0.06,0.16,0.06,0.4
X360,2007,Strategy,0.34,0.03,0.01,0.03,0.4
GC,2003,Platform,0.31,0.08,0.0,0.01,0.4
PS3,2007,Action,0.32,0.04,0.01,0.04,0.4
PS3,2008,Sports,0.13,0.2,0.0,0.08,0.4
WiiU,2013,Role-Playing,0.0,0.0,0.4,0.0,0.4
PS3,2008,Platform,0.12,0.21,0.0,0.08,0.4
GB,1997,Role-Playing,0.0,0.0,0.4,0.0,0.4
PS2,2009,Sports,0.33,0.01,0.0,0.05,0.4
PS2,2002,Misc,0.2,0.15,0.0,0.05,0.4
Wii,2012,Action,0.38,0.0,0.0,0.03,0.4
Wii,2009,Misc,0.0,0.0,0.4,0.0,0.4
PS3,2014,Action,0.1,0.2,0.02,0.08,0.4
2600,1982,Action,0.37,0.02,0.0,0.0,0.4
PS2,2005,Role-Playing,0.2,0.15,0.0,0.05,0.4
GC,2003,Sports,0.31,0.08,0.0,0.01,0.4
DS,2005,Strategy,0.3,0.03,0.04,0.03,0.4
DS,2009,Action,0.27,0.01,0.09,0.03,0.4
PS2,2008,Action,0.0,0.0,0.4,0.0,0.4
PSP,2005,Fighting,0.36,0.01,0.0,0.03,0.4
PS2,2008,Action,0.2,0.15,0.0,0.05,0.4
GBA,2005,Action,0.29,0.11,0.0,0.01,0.4
PS,1997,Strategy,0.0,0.0,0.38,0.03,0.4
GC,2005,Strategy,0.25,0.07,0.07,0.01,0.4
PS,1999,Sports,0.22,0.15,0.0,0.03,0.4
GC,2004,Action,0.31,0.08,0.0,0.01,0.4
XOne,2014,Misc,0.29,0.08,0.0,0.04,0.4
SNES,1994,Fighting,0.0,0.0,0.4,0.0,0.4
XOne,2014,Sports,0.31,0.06,0.0,0.03,0.4
Wii,2007,Action,0.34,0.03,0.0,0.03,0.4
Wii,2009,Action,0.22,0.08,0.08,0.03,0.4
PS3,2009,Sports,0.37,0.0,0.0,0.03,0.4
XOne,2016,Sports,0.23,0.14,0.0,0.04,0.4
SAT,1995,Fighting,0.0,0.0,0.4,0.0,0.4
PS,1999,Sports,0.22,0.15,0.0,0.03,0.4
PS3,2010,Action,0.14,0.19,0.0,0.07,0.4
PS2,2008,Platform,0.12,0.01,0.0,0.27,0.4
PSP,2011,Misc,0.0,0.0,0.4,0.0,0.4
N64,1999,Racing,0.32,0.07,0.0,0.0,0.4
N64,1997,Racing,0.32,0.07,0.0,0.0,0.4
N64,1999,Sports,0.37,0.03,0.0,0.0,0.4
N64,1997,Fighting,0.32,0.07,0.0,0.0,0.4
PS2,2001,Racing,0.2,0.15,0.0,0.05,0.4
PS2,2004,Misc,0.33,0.01,0.0,0.05,0.4
PS,1999,Platform,0.22,0.15,0.0,0.03,0.4
X360,2010,Sports,0.27,0.1,0.0,0.03,0.4
DS,2009,Adventure,0.06,0.3,0.0,0.04,0.4
PS2,2007,Racing,0.2,0.15,0.0,0.05,0.4
PS2,2005,Sports,0.33,0.01,0.0,0.05,0.4
X360,2009,Action,0.18,0.17,0.0,0.04,0.4
PS2,2007,Sports,0.2,0.15,0.0,0.05,0.4
PC,2010,Action,0.17,0.17,0.0,0.06,0.4
GBA,2001,Action,0.29,0.11,0.0,0.01,0.4
Wii,2009,Action,0.38,0.01,0.0,0.0,0.4
XB,2005,Racing,0.32,0.07,0.0,0.01,0.4
GC,2006,Action,0.31,0.08,0.0,0.01,0.4
DS,2009,Action,0.22,0.14,0.0,0.04,0.4
GC,2004,Simulation,0.24,0.14,0.0,0.02,0.4
PS,1999,Racing,0.22,0.15,0.0,0.03,0.4
GBA,2006,Role-Playing,0.0,0.0,0.39,0.01,0.4
GBA,2004,Action,0.29,0.11,0.0,0.01,0.4
DS,2007,Puzzle,0.34,0.03,0.0,0.03,0.4
X360,2010,Sports,0.32,0.05,0.0,0.03,0.4
X360,2009,Fighting,0.2,0.16,0.0,0.04,0.4
WiiU,2014,Sports,0.19,0.14,0.04,0.03,0.4
X360,2007,Action,0.12,0.23,0.0,0.05,0.4
PS,1999,Misc,0.22,0.15,0.0,0.03,0.4
SNES,1995,Role-Playing,0.0,0.0,0.4,0.0,0.4
WiiU,2013,Platform,0.24,0.12,0.01,0.03,0.4
PS3,2008,Action,0.17,0.16,0.0,0.07,0.4
GC,2002,Shooter,0.31,0.08,0.0,0.01,0.4
XB,2001,Sports,0.35,0.03,0.0,0.02,0.4
PS,2000,Adventure,0.0,0.0,0.37,0.03,0.4
PS3,2012,Simulation,0.09,0.04,0.24,0.02,0.4
PS2,2003,Platform,0.19,0.15,0.0,0.05,0.4
PS,1996,Strategy,0.22,0.15,0.0,0.03,0.4
PS3,2010,Sports,0.22,0.12,0.0,0.06,0.4
PC,2010,Role-Playing,0.01,0.32,0.0,0.07,0.4
PS2,2004,Strategy,0.0,0.0,0.4,0.0,0.4
GC,2004,Shooter,0.31,0.08,0.0,0.01,0.4
DS,2010,Action,0.26,0.1,0.0,0.03,0.4
DS,2007,Role-Playing,0.37,0.0,0.0,0.03,0.4
X360,2015,Adventure,0.17,0.19,0.0,0.03,0.4
X360,2006,Action,0.29,0.06,0.01,0.03,0.4
SNES,1995,Role-Playing,0.0,0.0,0.4,0.0,0.4
X360,2010,Role-Playing,0.23,0.13,0.0,0.04,0.4
PS2,2005,Racing,0.33,0.01,0.0,0.05,0.4
PS2,2004,Fighting,0.19,0.15,0.0,0.05,0.39
PS3,2013,Misc,0.17,0.15,0.0,0.07,0.39
PS2,2007,Action,0.19,0.15,0.0,0.05,0.39
XB,2005,Action,0.26,0.11,0.0,0.02,0.39
PS3,2013,Racing,0.07,0.23,0.01,0.09,0.39
3DS,2012,Action,0.19,0.17,0.0,0.03,0.39
PS2,2007,Racing,0.19,0.15,0.01,0.05,0.39
PS3,2015,Action,0.15,0.18,0.0,0.06,0.39
N64,1998,Sports,0.38,0.01,0.0,0.0,0.39
Wii,2009,Sports,0.36,0.0,0.0,0.03,0.39
PS3,2011,Role-Playing,0.17,0.14,0.03,0.06,0.39
PS3,2008,Action,0.14,0.18,0.0,0.07,0.39
Wii,2007,Sports,0.36,0.01,0.0,0.03,0.39
DS,2008,Racing,0.37,0.0,0.0,0.03,0.39
PSP,2011,Role-Playing,0.0,0.0,0.39,0.0,0.39
PS,2000,Racing,0.22,0.15,0.0,0.03,0.39
PS,1997,Fighting,0.22,0.15,0.0,0.03,0.39
2600,1982,Racing,0.37,0.02,0.0,0.0,0.39
PS2,2002,Shooter,0.0,0.0,0.39,0.0,0.39
GBA,2003,Action,0.28,0.1,0.0,0.01,0.39
Wii,2008,Fighting,0.34,0.02,0.0,0.03,0.39
PS2,2008,Sports,0.32,0.01,0.01,0.05,0.39
PSP,2011,Action,0.14,0.17,0.0,0.09,0.39
XB,2002,Shooter,0.29,0.08,0.0,0.01,0.39
Wii,2008,Role-Playing,0.18,0.14,0.04,0.04,0.39
GBA,2002,Role-Playing,0.0,0.0,0.39,0.0,0.39
PSP,2009,Action,0.39,0.0,0.0,0.0,0.39
3DS,2011,Sports,0.08,0.26,0.0,0.05,0.39
DS,2008,Sports,0.36,0.0,0.0,0.03,0.39
X360,2012,Shooter,0.24,0.12,0.0,0.03,0.39
PSP,2008,Sports,0.23,0.07,0.03,0.06,0.39
2600,1981,Action,0.37,0.02,0.0,0.0,0.39
DS,2008,Misc,0.36,0.0,0.0,0.03,0.39
PSP,2006,Platform,0.14,0.05,0.16,0.04,0.39
PS,1998,Sports,0.22,0.15,0.0,0.03,0.39
DS,2008,Misc,0.36,0.0,0.0,0.03,0.39
GC,2004,Misc,0.3,0.08,0.0,0.01,0.39
PS4,2013,Misc,0.18,0.16,0.0,0.05,0.39
PS3,2013,Adventure,0.31,0.01,0.03,0.05,0.39
PS,2001,Role-Playing,0.0,0.0,0.37,0.03,0.39
3DS,2012,Role-Playing,0.18,0.04,0.15,0.02,0.39
X360,2011,Shooter,0.18,0.17,0.01,0.04,0.39
PSV,2012,Racing,0.14,0.19,0.0,0.06,0.39
DS,2009,Racing,0.22,0.13,0.0,0.04,0.39
Wii,2011,Adventure,0.19,0.17,0.0,0.03,0.39
DS,2005,Platform,0.34,0.02,0.0,0.03,0.39
X360,2010,Sports,0.18,0.17,0.0,0.04,0.39
3DS,2011,Strategy,0.25,0.06,0.05,0.03,0.39
Wii,2011,Misc,0.0,0.0,0.39,0.0,0.39
PC,2005,Strategy,0.0,0.32,0.0,0.07,0.39
XB,2003,Sports,0.29,0.08,0.0,0.01,0.39
PS3,2015,Sports,0.3,0.01,0.0,0.07,0.39
GBA,2004,Sports,0.28,0.1,0.0,0.01,0.39
N64,1999,Sports,0.36,0.03,0.0,0.0,0.39
N64,2000,Fighting,0.0,0.0,0.34,0.05,0.39
N64,1998,Racing,0.31,0.07,0.0,0.0,0.39
N64,1999,Action,0.31,0.07,0.0,0.0,0.39
GC,2005,Adventure,0.23,0.06,0.09,0.01,0.39
PC,2009,Simulation,0.0,0.32,0.0,0.07,0.39
PS2,2003,Misc,0.19,0.15,0.0,0.05,0.39
Wii,2008,Misc,0.36,0.0,0.0,0.03,0.39
PS2,2000,Fighting,0.16,0.13,0.06,0.04,0.39
PS2,2002,Action,0.19,0.15,0.0,0.05,0.39
Wii,2010,Misc,0.37,0.0,0.0,0.02,0.39
WiiU,2012,Action,0.23,0.12,0.0,0.04,0.39
WiiU,2012,Misc,0.22,0.14,0.0,0.03,0.39
SNES,1991,Fighting,0.0,0.0,0.39,0.0,0.39
PS2,2005,Sports,0.19,0.15,0.0,0.05,0.39
PS3,2006,Role-Playing,0.33,0.02,0.0,0.04,0.39
DS,2009,Adventure,0.24,0.11,0.0,0.04,0.39
PS3,2008,Racing,0.07,0.24,0.0,0.08,0.39
Wii,2008,Simulation,0.34,0.02,0.0,0.03,0.39
PS2,2003,Misc,0.19,0.15,0.0,0.05,0.39
PS3,2013,Sports,0.16,0.15,0.0,0.07,0.39
SNES,1992,Fighting,0.0,0.0,0.39,0.0,0.39
X360,2013,Simulation,0.22,0.13,0.0,0.03,0.39
GB,2001,Role-Playing,0.0,0.0,0.39,0.0,0.39
Wii,2007,Adventure,0.35,0.01,0.0,0.03,0.39
3DS,2011,Sports,0.36,0.01,0.0,0.03,0.39
GBA,2005,Simulation,0.28,0.1,0.0,0.01,0.39
PS2,2006,Platform,0.19,0.15,0.0,0.05,0.39
PS3,2014,Sports,0.35,0.0,0.0,0.04,0.39
SNES,1994,Sports,0.0,0.0,0.39,0.0,0.39
PS2,2002,Racing,0.19,0.15,0.0,0.05,0.39
XB,2005,Shooter,0.29,0.08,0.0,0.01,0.39
DS,2009,Misc,0.26,0.09,0.0,0.03,0.39
Wii,2009,Sports,0.36,0.0,0.0,0.03,0.39
PS2,2007,Sports,0.19,0.15,0.0,0.05,0.39
PS2,2008,Misc,0.19,0.15,0.0,0.05,0.39
2600,1981,Action,0.36,0.02,0.0,0.0,0.39
PS,1999,Simulation,0.0,0.0,0.36,0.03,0.39
3DS,2011,Action,0.12,0.05,0.2,0.01,0.39
X360,2006,Action,0.27,0.08,0.01,0.03,0.39
DS,2009,Action,0.2,0.15,0.0,0.04,0.39
Wii,2009,Misc,0.0,0.36,0.0,0.02,0.39
GBA,2003,Sports,0.28,0.1,0.0,0.01,0.39
DS,2007,Misc,0.38,0.0,0.0,0.0,0.38
PS4,2015,Action,0.13,0.17,0.03,0.06,0.38
PS2,2003,Action,0.19,0.15,0.0,0.05,0.38
3DS,2013,Action,0.05,0.04,0.28,0.01,0.38
DS,2008,Role-Playing,0.16,0.0,0.2,0.01,0.38
PS,1996,Sports,0.21,0.15,0.0,0.03,0.38
PS3,2009,Sports,0.09,0.23,0.0,0.07,0.38
SNES,1991,Sports,0.0,0.0,0.38,0.0,0.38
PS2,2003,Role-Playing,0.07,0.05,0.25,0.02,0.38
GB,1998,Platform,0.0,0.0,0.38,0.0,0.38
PS,1997,Racing,0.21,0.15,0.0,0.03,0.38
PSV,2013,Role-Playing,0.16,0.05,0.12,0.05,0.38
PS,1998,Racing,0.0,0.0,0.36,0.03,0.38
DS,2009,Simulation,0.24,0.11,0.0,0.04,0.38
XB,2004,Sports,0.29,0.08,0.0,0.01,0.38
PS2,2007,Action,0.19,0.15,0.0,0.05,0.38
Wii,2008,Sports,0.36,0.0,0.0,0.03,0.38
Wii,2009,Role-Playing,0.17,0.12,0.06,0.03,0.38
PS2,2007,Strategy,0.0,0.0,0.38,0.0,0.38
WiiU,2012,Action,0.17,0.18,0.0,0.03,0.38
PS3,2008,Misc,0.27,0.07,0.0,0.04,0.38
Wii,2009,Misc,0.0,0.35,0.0,0.03,0.38
PSV,2015,Role-Playing,0.0,0.01,0.37,0.0,0.38
PS3,2010,Sports,0.15,0.17,0.0,0.07,0.38
GBA,2005,Platform,0.27,0.1,0.0,0.01,0.38
PSP,2009,Fighting,0.13,0.04,0.19,0.03,0.38
PS2,2001,Sports,0.19,0.15,0.0,0.05,0.38
GC,2002,Shooter,0.3,0.08,0.0,0.01,0.38
X360,2015,Shooter,0.22,0.12,0.0,0.03,0.38
DS,2007,Simulation,0.07,0.0,0.31,0.01,0.38
PS2,2002,Strategy,0.0,0.0,0.38,0.0,0.38
GBA,2002,Action,0.27,0.1,0.0,0.01,0.38
PS2,2008,Sports,0.1,0.0,0.0,0.28,0.38
PS2,2002,Action,0.19,0.15,0.0,0.05,0.38
PS3,2007,Sports,0.29,0.05,0.0,0.04,0.38
SAT,1995,Role-Playing,0.0,0.0,0.38,0.0,0.38
3DS,2011,Platform,0.11,0.23,0.0,0.04,0.38
PS3,2007,Sports,0.35,0.0,0.0,0.03,0.38
GC,2005,Fighting,0.3,0.08,0.0,0.01,0.38
PS3,2014,Sports,0.21,0.11,0.0,0.06,0.38
PS,1994,Sports,0.11,0.08,0.17,0.03,0.38
XOne,2016,Racing,0.15,0.2,0.0,0.03,0.38
Wii,2009,Action,0.12,0.22,0.0,0.04,0.38
PS,1998,Action,0.21,0.14,0.0,0.02,0.38
PS,2000,Strategy,0.0,0.0,0.36,0.02,0.38
PS2,2005,Misc,0.19,0.15,0.0,0.05,0.38
PS2,2004,Racing,0.19,0.15,0.0,0.05,0.38
3DS,2013,Adventure,0.0,0.0,0.38,0.0,0.38
GC,2003,Sports,0.29,0.08,0.0,0.01,0.38
PS2,2010,Sports,0.19,0.15,0.0,0.05,0.38
PS4,2015,Role-Playing,0.16,0.15,0.02,0.06,0.38
GBA,2004,Action,0.27,0.1,0.0,0.01,0.38
3DS,2012,Action,0.15,0.11,0.1,0.02,0.38
PS2,2003,Strategy,0.19,0.15,0.0,0.05,0.38
